SampleID	name1	name2	Sediment_type	Weather	Temperature	Temperature_range	Month	Season	Depth	Tide_level	Des	Type_Tide_Depth
mud08.2021.06.Z2	mud08.2021.06.Z2	mud08.2021.06.Z	mudflat	Sunny_day	32	31-35	06_Jun	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud08.2021.06.Z3	mud08.2021.06.Z3	mud08.2021.06.Z	mudflat	Sunny_day	32	31-35	06_Jun	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud09.2021.07.S1	mud09.2021.07.S1	mud09.2021.07.S	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud09.2021.07.S2	mud09.2021.07.S2	mud09.2021.07.S	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud09.2021.07.S3	mud09.2021.07.S3	mud09.2021.07.S	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud09.2021.07.X1	mud09.2021.07.X1	mud09.2021.07.X	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud09.2021.07.X2	mud09.2021.07.X2	mud09.2021.07.X	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud09.2021.07.X3	mud09.2021.07.X3	mud09.2021.07.X	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud09.2021.07.Z1	mud09.2021.07.Z1	mud09.2021.07.Z	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud09.2021.07.Z2	mud09.2021.07.Z2	mud09.2021.07.Z	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud09.2021.07.Z3	mud09.2021.07.Z3	mud09.2021.07.Z	mudflat	Cloudy_day	29	26-30	07_Jul	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud10.2021.08.S1	mud10.2021.08.S1	mud10.2021.08.S	mudflat	Rainy_day	32	31-35	08_Aug	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud10.2021.08.S2	mud10.2021.08.S2	mud10.2021.08.S	mudflat	Rainy_day	32	31-35	08_Aug	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud10.2021.08.S3	mud10.2021.08.S3	mud10.2021.08.S	mudflat	Rainy_day	32	31-35	08_Aug	Summer	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud10.2021.08.X1	mud10.2021.08.X1	mud10.2021.08.X	mudflat	Rainy_day	32	31-35	08_Aug	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud10.2021.08.X2	mud10.2021.08.X2	mud10.2021.08.X	mudflat	Rainy_day	32	31-35	08_Aug	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud10.2021.08.X3	mud10.2021.08.X3	mud10.2021.08.X	mudflat	Rainy_day	32	31-35	08_Aug	Summer	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud10.2021.08.Z1	mud10.2021.08.Z1	mud10.2021.08.Z	mudflat	Rainy_day	32	31-35	08_Aug	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud10.2021.08.Z2	mud10.2021.08.Z2	mud10.2021.08.Z	mudflat	Rainy_day	32	31-35	08_Aug	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud10.2021.08.Z3	mud10.2021.08.Z3	mud10.2021.08.Z	mudflat	Rainy_day	32	31-35	08_Aug	Summer	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud11.2021.09.S1	mud11.2021.09.S1	mud11.2021.09.S	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud11.2021.09.S2	mud11.2021.09.S2	mud11.2021.09.S	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud11.2021.09.S3	mud11.2021.09.S3	mud11.2021.09.S	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud11.2021.09.X1	mud11.2021.09.X1	mud11.2021.09.X	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud11.2021.09.X2	mud11.2021.09.X2	mud11.2021.09.X	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud11.2021.09.X3	mud11.2021.09.X3	mud11.2021.09.X	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud11.2021.09.Z1	mud11.2021.09.Z1	mud11.2021.09.Z	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud11.2021.09.Z2	mud11.2021.09.Z2	mud11.2021.09.Z	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud11.2021.09.Z3	mud11.2021.09.Z3	mud11.2021.09.Z	mudflat	Sunny_day	20	16-20	09_Sep	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud12.2021.10.S1	mud12.2021.10.S1	mud12.2021.10.S	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud12.2021.10.S2	mud12.2021.10.S2	mud12.2021.10.S	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud12.2021.10.S3	mud12.2021.10.S3	mud12.2021.10.S	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud12.2021.10.X1	mud12.2021.10.X1	mud12.2021.10.X	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud12.2021.10.X2	mud12.2021.10.X2	mud12.2021.10.X	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud12.2021.10.X3	mud12.2021.10.X3	mud12.2021.10.X	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud12.2021.10.Z1	mud12.2021.10.Z1	mud12.2021.10.Z	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud12.2021.10.Z2	mud12.2021.10.Z2	mud12.2021.10.Z	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud12.2021.10.Z3	mud12.2021.10.Z3	mud12.2021.10.Z	mudflat	Sunny_day	20	16-20	10_Oct	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud13.2021.11.S1	mud13.2021.11.S1	mud13.2021.11.S	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud13.2021.11.S2	mud13.2021.11.S2	mud13.2021.11.S	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud13.2021.11.S3	mud13.2021.11.S3	mud13.2021.11.S	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud13.2021.11.X1	mud13.2021.11.X1	mud13.2021.11.X	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud13.2021.11.X2	mud13.2021.11.X2	mud13.2021.11.X	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud13.2021.11.X3	mud13.2021.11.X3	mud13.2021.11.X	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud13.2021.11.Z1	mud13.2021.11.Z1	mud13.2021.11.Z	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud13.2021.11.Z2	mud13.2021.11.Z2	mud13.2021.11.Z	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud13.2021.11.Z3	mud13.2021.11.Z3	mud13.2021.11.Z	mudflat	Sunny_day	15	11-15	11_Nov	Autumn	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud14.2021.12.S1	mud14.2021.12.S1	mud14.2021.12.S	mudflat	Sunny_day	9	6-10	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud14.2021.12.S2	mud14.2021.12.S2	mud14.2021.12.S	mudflat	Sunny_day	9	6-10	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud14.2021.12.S3	mud14.2021.12.S3	mud14.2021.12.S	mudflat	Sunny_day	9	6-10	12_Dec	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud14.2021.12.X1	mud14.2021.12.X1	mud14.2021.12.X	mudflat	Sunny_day	9	6-10	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud14.2021.12.X2	mud14.2021.12.X2	mud14.2021.12.X	mudflat	Sunny_day	9	6-10	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud14.2021.12.X3	mud14.2021.12.X3	mud14.2021.12.X	mudflat	Sunny_day	9	6-10	12_Dec	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud14.2021.12.Z1	mud14.2021.12.Z1	mud14.2021.12.Z	mudflat	Sunny_day	9	6-10	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud14.2021.12.Z2	mud14.2021.12.Z2	mud14.2021.12.Z	mudflat	Sunny_day	9	6-10	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud14.2021.12.Z3	mud14.2021.12.Z3	mud14.2021.12.Z	mudflat	Sunny_day	9	6-10	12_Dec	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud15.2022.01.S1	mud15.2022.01.S1	mud15.2022.01.S	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud15.2022.01.S2	mud15.2022.01.S2	mud15.2022.01.S	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud15.2022.01.S3	mud15.2022.01.S3	mud15.2022.01.S	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud15.2022.01.X1	mud15.2022.01.X1	mud15.2022.01.X	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud15.2022.01.X2	mud15.2022.01.X2	mud15.2022.01.X	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud15.2022.01.X3	mud15.2022.01.X3	mud15.2022.01.X	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud15.2022.01.Z1	mud15.2022.01.Z1	mud15.2022.01.Z	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud15.2022.01.Z2	mud15.2022.01.Z2	mud15.2022.01.Z	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud15.2022.01.Z3	mud15.2022.01.Z3	mud15.2022.01.Z	mudflat	Cloudy_day	8	6-10	01_Jan	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud16.2022.02.S1	mud16.2022.02.S1	mud16.2022.02.S	mudflat	Sunny_day	13	11-15	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud16.2022.02.S2	mud16.2022.02.S2	mud16.2022.02.S	mudflat	Sunny_day	13	11-15	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud16.2022.02.S3	mud16.2022.02.S3	mud16.2022.02.S	mudflat	Sunny_day	13	11-15	02_Feb	Winter	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud16.2022.02.X1	mud16.2022.02.X1	mud16.2022.02.X	mudflat	Sunny_day	13	11-15	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud16.2022.02.X2	mud16.2022.02.X2	mud16.2022.02.X	mudflat	Sunny_day	13	11-15	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud16.2022.02.X3	mud16.2022.02.X3	mud16.2022.02.X	mudflat	Sunny_day	13	11-15	02_Feb	Winter	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
mud16.2022.02.Z1	mud16.2022.02.Z1	mud16.2022.02.Z	mudflat	Sunny_day	13	11-15	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud16.2022.02.Z2	mud16.2022.02.Z2	mud16.2022.02.Z	mudflat	Sunny_day	13	11-15	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud16.2022.02.Z3	mud16.2022.02.Z3	mud16.2022.02.Z	mudflat	Sunny_day	13	11-15	02_Feb	Winter	5_15cm	Low_tide_level	16s	mud_Low_5_15cm
mud17.2022.03.S1	mud17.2022.03.S1	mud17.2022.03.S	mudflat	Rainy_day	9	6-10	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud17.2022.03.S2	mud17.2022.03.S2	mud17.2022.03.S	mudflat	Rainy_day	9	6-10	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud17.2022.03.S3	mud17.2022.03.S3	mud17.2022.03.S	mudflat	Rainy_day	9	6-10	03_Mar	Spring	1_5cm	Low_tide_level	16s	mud_Low_1_5cm
mud17.2022.03.X1	mud17.2022.03.X1	mud17.2022.03.X	mudflat	Rainy_day	9	6-10	03_Mar	Spring	15_25cm	Low_tide_level	16s	mud_Low_15_25cm
